,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
1,2006-10-23,INTC,12.76072883605957,21.450000762939453,21.600000381469727,21.280000686645508,53105200.0,0.0,0.0022435983022042194,21.371422391627615,21.088578600193674,100.0,66.66666666666667,100.0,21.230000495910645,21.230000495910645,0.0
1,2006-10-23,MSFT,20.05611228942871,28.450000762939453,28.690000534057617,28.299999237060547,48525000.0,0.0,-0.0040384683853531556,28.644558262459324,28.13544051683755,0.0,66.66666666666667,100.0,28.389999389648438,28.389999389648438,0.0
1,2006-10-23,NVDA,0.48256009817123413,0.5263329744338989,0.5414999723434448,0.5286669731140137,280248000.0,0.0,-0.0002580128419092942,0.5506804309068406,0.5181535162748611,0.0,-66.66666666666667,100.0,0.5344169735908508,0.5344169735908508,0.0
1,2006-10-23,QCOM,24.280406951904297,38.08000183105469,38.63999938964844,37.880001068115234,13494800.0,0.0,-0.010320492279838334,38.760537554292,37.459463666411125,0.0,-66.66666666666667,100.0,38.11000061035156,38.11000061035156,0.0
2,2006-10-24,AAPL,2.430774688720703,2.8946430683135986,2.9171431064605713,2.9003570079803467,463212400.0,1.0,0.002392556387194933,2.9392728239544774,2.7790605793149727,100.0,59.34517477725868,73.80540587087778,2.859166701634725,2.859166701634725,0.0
2,2006-10-24,AMD,20.31999969482422,20.31999969482422,20.639999389648438,20.479999542236328,37597100.0,1.0,-0.019381711915027466,21.619709887625056,19.633622886219342,21.885519272737895,-42.46585722086775,100.0,20.6266663869222,20.6266663869222,0.0
2,2006-10-24,AMZN,1.68149995803833,1.68149995803833,1.899999976158142,1.6434999704360962,463106000.0,1.0,0.00030573149632284746,1.6538666185530646,1.613800039212642,65.288258669747,100.0,100.0,1.6338333288828533,1.6338333288828533,0.0
2,2006-10-24,BIDU,8.425999641418457,8.425999641418457,8.722999572753906,8.557000160217285,12909000.0,1.0,-0.009842279674591836,9.0948637416571,8.409135968425907,0.0,-99.99999999999946,100.0,8.751999855041504,8.751999855041504,0.0
2,2006-10-24,GOOG,11.7008056640625,11.78856372833252,11.901888847351074,11.862536430358887,347706422.0,1.0,0.013155531717947255,12.060106882333004,11.145412475984054,100.0,49.61596295172005,50.121948694648275,11.60275967915853,11.60275967915853,0.0
2,2006-10-24,INTC,12.861865043640137,21.6200008392334,21.84000015258789,21.459999084472656,62841600.0,1.0,0.008440529107840433,21.59044925665774,21.02288412753822,100.0,99.99999999999794,100.0,21.30666669209798,21.30666669209798,0.0
2,2006-10-24,MSFT,19.936267852783203,28.280000686645508,28.43000030517578,28.43000030517578,61409600.0,1.0,-0.0011144849623434538,28.58916505137765,28.217501004937454,42.76331750017985,-99.99999999999714,86.15723434202548,28.40333302815755,28.40333302815755,0.0
2,2006-10-24,NVDA,0.4966188073158264,0.5416669845581055,0.5476670265197754,0.5273330211639404,519288000.0,1.0,-0.0003701253428979312,0.5461680572072849,0.5179432550231431,0.0,77.07447272473668,100.0,0.532055656115214,0.532055656115214,0.0
2,2006-10-24,QCOM,23.406871795654297,36.709999084472656,37.95000076293945,37.650001525878906,20196800.0,1.0,-0.020282627688700927,38.659327790262786,37.25400737412523,0.0,-99.99999999999932,63.377314140868855,37.95666758219401,37.95666758219401,0.0
3,2006-10-25,AAPL,2.449669361114502,2.9171431064605713,2.9285709857940674,2.9053568840026855,485214800.0,2.0,0.003230889868618636,2.950786257541953,2.790642236911477,100.0,76.03105342713854,81.12791401181777,2.870714247226715,2.870714247226715,0.0
3,2006-10-25,AMD,20.829999923706055,20.829999923706055,20.93000030517578,20.350000381469727,30140000.0,2.0,-0.02261934341905203,21.414219019677816,19.700780751440348,19.660004213983555,39.5604303473255,0.19684543535519208,20.557499885559082,20.557499885559082,0.0
3,2006-10-25,AMZN,1.8839999437332153,1.8839999437332153,1.8990000486373901,1.8650000095367432,930450000.0,2.0,0.00854671354359815,1.9233696632233992,1.4598803348692522,95.90664234319667,119.74903777055603,100.0,1.6916249990463257,1.6916249990463257,0.0
3,2006-10-25,BIDU,8.489999771118164,8.489999771118164,8.569000244140625,8.425000190734863,7960000.0,2.0,-0.018241287722068122,9.100713886684925,8.239785991244762,0.0,-84.40176434444078,100.0,8.670249938964844,8.670249938964844,0.0
